ID,Title,Rating,tags
993,Cousins-in-Binary-Tree,1287,Tree;Depth-First Search;Breadth-First Search;Binary Tree
872,Leaf-Similar-Trees,1287,
1103,Distribute-Candies-to-People,1287,Math;Simulation
1791,Find-Center-of-Star-Graph,1286,Graph
2352,Equal-Row-and-Column-Pairs,1286,Array;Hash Table;Matrix;Simulation
1047,Remove-All-Adjacent-Duplicates-In-String,1286,String;Stack
1381,Design-a-Stack-With-Increment-Operation,1285,Array;Stack;Design
860,Lemonade-Change,1285,Array;Greedy
2839,Check-if-Strings-Can-be-Made-Equal-With-Operations-I,1285,String
3238,Find-the-Number-of-Winning-Players,1285,Array;Hash Table;Counting
1720,Decode-XORed-Array,1284,Array;Bit Manipulation
1481,Least-Number-of-Unique-Integers-after-K-Removals,1284,Array;Hash Table;Greedy;Sorting;Counting
2303,Calculate-Amount-Paid-in-Taxes,1283,Array;Simulation
1507,Reformat-Date,1283,String
1252,Cells-with-Odd-Values-in-a-Matrix,1283,Array;Math;Simulation
2639,Find-the-Width-of-Columns-of-a-Grid,1282,Array;Matrix
1837,Sum-of-Digits-in-Base-K,1282,Math
2696,Minimum-String-Length-After-Removing-Substrings,1282,String;Stack;Simulation
3527,Find-the-Most-Common-Response,1282,Array;Hash Table;String;Counting
2220,Minimum-Bit-Flips-to-Convert-Number,1282,Bit Manipulation
1624,Largest-Substring-Between-Two-Equal-Characters,1281,Hash Table;String
2570,Merge-Two-2D-Arrays-by-Summing-Values,1281,Array;Hash Table;Two Pointers
1572,Matrix-Diagonal-Sum,1280,Array;Matrix
2125,Number-of-Laser-Beams-in-a-Bank,1280,Array;Math;String;Matrix
2269,Find-the-K-Beauty-of-a-Number,1279,
1002,Find-Common-Characters,1279,Array;Hash Table;String
1534,Count-Good-Triplets,1279,Array;Enumeration
2807,Insert-Greatest-Common-Divisors-in-Linked-List,1279,Linked List;Math;Number Theory
2582,Pass-the-Pillow,1278,Math;Simulation
1742,Maximum-Number-of-Balls-in-a-Box,1277,Hash Table;Math;Counting
1317,Convert-Integer-to-the-Sum-of-Two-No-Zero-Integers,1277,
2558,Take-Gifts-From-the-Richest-Pile,1276,Array;Heap (Priority Queue);Simulation
2150,Find-All-Lonely-Numbers-in-the-Array,1275,Array;Hash Table;Counting
2129,Capitalize-the-Title,1274,String
1078,Occurrences-After-Bigram,1274,String
1005,Maximize-Sum-Of-Array-After-K-Negations,1274,Array;Greedy;Sorting
2068,Check-Whether-Two-Strings-are-Almost-Equivalent,1273,Hash Table;String;Counting
2138,Divide-a-String-Into-Groups-of-Size-k,1273,String;Simulation
2869,Minimum-Operations-to-Collect-Elements,1272,Array;Hash Table;Bit Manipulation
2006,Count-Number-of-Pairs-With-Absolute-Difference-K,1271,Array;Hash Table;Counting
824,Goat-Latin,1271,String
1556,Thousand-Separator,1271,String
925,Long-Pressed-Name,1271,Two Pointers;String
2363,Merge-Similar-Items,1270,Array;Hash Table;Sorting;Ordered Set
2873,Maximum-Value-of-an-Ordered-Triplet-I,1270,Array
3222,Find-the-Winning-Player-in-Coin-Game,1269,Math;Simulation;Game Theory
2843,Count-Symmetric-Integers,1269,Math;Enumeration
2032,Two-Out-of-Three,1269,Array;Hash Table;Bit Manipulation
1447,Simplified-Fractions,1268,Math;String;Number Theory
2325,Decode-the-Message,1268,Hash Table;String
3360,Stone-Removal-Game,1267,Math;Simulation
1282,Group-the-People-Given-the-Group-Size-They-Belong-To,1267,Array;Hash Table;Greedy
2432,The-Employee-That-Worked-on-the-Longest-Task,1266,Array
3254,Find-the-Power-of-K-Size-Subarrays-I,1266,
2670,Find-the-Distinct-Difference-Array,1266,Array;Hash Table
2785,Sort-Vowels-in-a-String,1266,String;Sorting
2200,Find-All-K-Distant-Indices-in-an-Array,1266,
821,Shortest-Distance-to-a-Character,1266,Array;Two Pointers;String
2549,Count-Distinct-Numbers-on-Board,1265,Array;Hash Table;Math;Simulation
1736,Latest-Time-by-Replacing-Hidden-Digits,1264,String;Greedy
